unix,low,high,open,close,volume,date,vol_fiat
1711756800,69778.64,70363.25,69903.74,70158.48,1602.59445624,2024-03-30,112435591.10622491
1711670400,69036.95,70941.7,70804.06,69903.75,7364.3987269,2024-03-29,514799087.50553584
1711584000,68841.01,71635.99,69437.16,70801.18,15223.15591033,2024-03-28,1077817401.7753382
1711497600,68369.62,71789.85,69994.9,69435.96,18703.73738295,2024-03-27,1298711960.773021
1711411200,69269.69,71582.96,69895.6,69992.4,15697.73440865,2024-03-26,1098722105.8239942
1711324800,66381.84,71269.92,67212.69,69890.28,22228.13803338,2024-03-25,1553530791.0315776
1711238400,63785.57,67637.6,63998.87,67204.93,6535.8276512,2024-03-24,439239839.7909604
1711152000,63013.19,66029.09,63814.56,63998.86,7395.08270425,2024-03-23,473276862.67771715
1711065600,62258.36,66651.1,65478.98,63814.56,17807.65930238,2024-03-22,1136387943.0112867
1710979200,64525.0,68234.56,67855.88,65484.7,18523.96247162,2024-03-21,1213036125.2652943
1710892800,60771.14,68150.0,61902.57,67858.8,38590.78345488,2024-03-20,2618724256.308011
1710806400,61506.0,68136.39,67609.39,61906.27,40111.97553957,2024-03-19,2483182787.986016
1710720000,66562.65,68933.71,68354.29,67613.04,20057.37580028,2024-03-18,1356140152.2793634
1710633600,64505.0,68877.82,65254.22,68343.64,12631.85084112,2024-03-17,863306666.4192024
1710547200,64774.05,70050.0,69514.87,65254.22,16532.825303,2024-03-16,1078836619.5435288
1710460800,65565.7,72414.96,71364.58,69506.88,40195.84231178,2024-03-15,2793887588.063815
1710374400,68454.47,73835.57,73135.04,71364.58,34226.602618,2024-03-14,2442567120.6604705
1710288000,71337.3,73709.99,71473.43,73135.04,21455.92195688,2024-03-13,1569179710.553297
1710201600,68603.0,73027.63,72110.98,71475.93,29420.19277654,2024-03-12,2102835639.4824784
1710115200,67112.21,72943.98,69032.8,72110.98,32332.72583229,2024-03-11,2331544545.8377476
1710028800,68221.13,70000.0,68480.01,69032.12,12163.05713369,2024-03-10,839641619.6197441
1709942400,68047.62,68700.41,68289.16,68480.0,9005.50992187,2024-03-09,616697319.4496576
1709856000,66157.09,70199.0,66938.21,68289.16,33749.52797544,2024-03-08,2304726915.8392987
1709769600,65599.63,68098.09,66115.48,66938.21,22228.36739914,2024-03-07,1487927124.9207873
1709683200,62832.39,67654.06,63802.15,66122.28,34653.87884591,2024-03-06,2291393480.135338
1709596800,59224.68,69324.58,68356.7,63800.78,65575.09537327,2024-03-05,4183742233.389017
1709510400,62300.0,68602.98,63155.74,68360.14,40600.36656889,2024-03-04,2775446742.70064
1709424000,61388.0,63260.0,62045.78,63154.49,7314.17629968,2024-03-03,461923073.97637755
1709337600,61623.39,62500.0,62439.74,62045.78,6882.38410251,2024-03-02,427022889.8998329
1709251200,60788.33,63267.18,61179.03,62436.72,24696.65692545,2024-03-01,1541978253.3903825
1709164800,60355.61,63675.48,62520.06,61179.03,36825.89535085,2024-02-29,2252972556.4465127
1709078400,56723.48,64100.0,57077.08,62518.9,48265.6721171,2024-02-28,3017516728.5217633
1708992000,54490.8,57646.81,54530.32,57077.07,28791.48651731,2024-02-27,1643333691.352559
1708905600,50901.23,54980.0,51730.96,54533.48,22422.38763854,2024-02-26,1222770827.8385684
